ORDERNUMBER,ORDERDATE,STATUS,SALES,TOTAL_SALES
10322,11/4/2004 0:00,Shipped,6000.4,4000.0
10333,11/18/2004 0:00,Shipped,3003.0,2600.0
10347,11/29/2004 0:00,Shipped,3944.7,3000.0
10357,12/10/2004 0:00,Shipped,5691.84,3200.0
10369,1/20/2005 0:00,Shipped,4514.92,4100.0
10381,2/17/2005 0:00,Shipped,8254.8,3600.0
10391,3/9/2005 0:00,Shipped,2416.56,2400.0
10411,5/1/2005 0:00,Shipped,4140.23,2300.0
10424,5/31/2005 0:00,In Process,12001.0,5000.0
10107,2/24/2003 0:00,Shipped,3896.49,3896.49
10120,4/29/2003 0:00,Shipped,2793.86,2793.86
10134,7/1/2003 0:00,Shipped,3307.77,2700.0
10145,8/25/2003 0:00,Shipped,5192.95,3700.0
10159,10/10/2003 0:00,Shipped,5016.83,3700.0
10168,10/28/2003 0:00,Shipped,3660.93,2700.0
10180,11/11/2003 0:00,Shipped,4695.6,4200.0
10188,11/18/2003 0:00,Shipped,3660.92,3660.92
10201,12/1/2003 0:00,Shipped,3025.92,2400.0
10210,1/12/2004 0:00,Shipped,3009.09,2300.0
10223,2/20/2004 0:00,Shipped,5422.39,4700.0
10236,4/3/2004 0:00,Shipped,2852.08,2200.0
10251,5/18/2004 0:00,Shipped,5756.52,4400.0
10263,6/28/2004 0:00,Shipped,4472.0,4000.0
10275,7/23/2004 0:00,Shipped,2904.44,2200.0
10285,8/27/2004 0:00,Shipped,6484.59,4700.0
10298,9/27/2004 0:00,Shipped,3757.26,3757.26
10308,10/15/2004 0:00,Shipped,4043.96,3400.0
10318,11/2/2004 0:00,Shipped,5566.5,4500.0
10329,11/15/2004 0:00,Shipped,3176.0,2000.0
10339,11/23/2004 0:00,Shipped,2756.8,2756.8
10361,12/17/2004 0:00,Shipped,1329.9,1329.9
10374,2/2/2005 0:00,Shipped,5288.01,3900.0
10388,3/3/2005 0:00,Shipped,2225.5,2225.5
10402,4/7/2005 0:00,Shipped,5833.8,4500.0
10417,5/13/2005 0:00,Disputed,5887.35,4500.0
10107,2/24/2003 0:00,Shipped,6065.55,2700.0
10120,4/29/2003 0:00,Shipped,9264.86,4600.0
10134,7/1/2003 0:00,Shipped,7023.98,3100.0
10145,8/25/2003 0:00,Shipped,5176.38,3300.0
10159,10/10/2003 0:00,Shipped,4132.7,2200.0
10168,10/28/2003 0:00,Shipped,4183.0,2000.0
10180,11/11/2003 0:00,Shipped,8892.9,4100.0
10188,11/18/2003 0:00,Shipped,8714.7,4500.0
10201,12/1/2003 0:00,Shipped,8065.89,4900.0
10210,1/12/2004 0:00,Shipped,6123.4,3400.0
10223,2/20/2004 0:00,Shipped,9774.03,4900.0
10237,4/5/2004 0:00,Shipped,7023.9,3900.0
10251,5/18/2004 0:00,Shipped,7078.23,4300.0
10263,6/28/2004 0:00,Shipped,8336.94,4100.0
10275,7/23/2004 0:00,Shipped,6901.92,3600.0
10285,8/27/2004 0:00,Shipped,5438.07,2700.0
10299,9/30/2004 0:00,Shipped,6683.34,2900.0
10308,10/15/2004 0:00,Shipped,4570.4,2000.0
10318,11/2/2004 0:00,Shipped,7667.14,3700.0
10329,11/15/2004 0:00,Shipped,5868.2,2600.0
10339,11/23/2004 0:00,Shipped,2990.13,2990.13
10362,1/5/2005 0:00,Shipped,3664.1,2200.0
10374,2/2/2005 0:00,Shipped,3834.38,2200.0
10388,3/3/2005 0:00,Shipped,1822.17,1822.17
10403,4/8/2005 0:00,Shipped,11886.6,6600.0
10417,5/13/2005 0:00,Disputed,9218.16,5600.0
10105,2/11/2003 0:00,Shipped,7208.0,5000.0
10119,4/28/2003 0:00,Shipped,5004.8,4600.0
10129,6/12/2003 0:00,Shipped,4398.24,3300.0
10143,8/10/2003 0:00,Shipped,5597.76,4900.0
10155,10/6/2003 0:00,Shipped,4526.08,3200.0
10167,10/23/2003 0:00,Cancelled,5924.16,4400.0
10178,11/8/2003 0:00,Shipped,3492.48,2400.0
10186,11/14/2003 0:00,Shipped,3854.24,2600.0
10197,11/26/2003 0:00,Shipped,5324.4,4500.0
10209,1/9/2004 0:00,Shipped,5197.92,3900.0
10222,2/19/2004 0:00,Shipped,5997.6,4900.0
10248,5/7/2004 0:00,Cancelled,2910.4,2000.0
10261,6/17/2004 0:00,Shipped,3378.24,2700.0
10273,7/21/2004 0:00,Shipped,3508.8,3000.0
10283,8/20/2004 0:00,Shipped,2992.0,2500.0
10295,9/10/2004 0:00,Shipped,3427.2,2400.0
10307,10/14/2004 0:00,Shipped,2692.8,2200.0
10316,11/1/2004 0:00,Shipped,4128.96,3300.0
10325,11/5/2004 0:00,Shipped,3051.71,3051.7100000000005
10337,11/21/2004 0:00,Shipped,1201.25,1201.25
10350,12/2/2004 0:00,Shipped,1962.22,1962.22
10359,12/15/2004 0:00,Shipped,2624.64,2624.64
10373,1/31/2005 0:00,Shipped,4046.25,3900.0
10384,2/23/2005 0:00,Shipped,4846.7,3400.0
10395,3/17/2005 0:00,Shipped,3370.56,3200.0
10400,4/1/2005 0:00,Shipped,9661.44,6400.0
10414,5/6/2005 0:00,On Hold,2764.88,1900.0
10103,1/29/2003 0:00,Shipped,5398.26,4200.0
10114,4/1/2003 0:00,Shipped,4305.28,3100.0
10126,5/28/2003 0:00,Shipped,3347.74,2200.0
10140,7/24/2003 0:00,Shipped,3188.12,2600.0
10150,9/19/2003 0:00,Shipped,3191.2,2000.0
10164,10/21/2003 0:00,Resolved,3536.82,2100.0
10175,11/6/2003 0:00,Shipped,5362.83,3300.0
10183,11/13/2003 0:00,Shipped,3433.36,2800.0
10194,11/25/2003 0:00,Shipped,4263.74,2600.0
10207,12/9/2003 0:00,Shipped,4076.19,3100.0
10217,2/4/2004 0:00,Shipped,7020.48,4800.0
10229,3/11/2004 0:00,Shipped,6426.5,5000.0
10245,5/4/2004 0:00,Shipped,4591.72,2800.0
10259,6/15/2004 0:00,Shipped,4033.38,2600.0
10270,7/19/2004 0:00,Shipped,4302.08,3200.0
10281,8/19/2004 0:00,Shipped,7020.64,4400.0
10291,9/8/2004 0:00,Shipped,3855.9,3000.0
10305,10/13/2004 0:00,Shipped,6680.78,3800.0
10313,10/22/2004 0:00,Shipped,6678.0,4000.0
10322,11/4/2004 0:00,Shipped,2851.54,2851.54
10334,11/19/2004 0:00,On Hold,3188.12,2600.0
10347,11/29/2004 0:00,Shipped,4428.0,2700.0
10357,12/10/2004 0:00,Shipped,5780.92,4300.0
10370,1/20/2005 0:00,Shipped,2297.05,2297.05
10381,2/17/2005 0:00,Shipped,6231.54,3700.0
10391,3/9/2005 0:00,Shipped,1735.3,1735.3
10411,5/1/2005 0:00,Shipped,4427.73,2700.0
10425,5/31/2005 0:00,In Process,5894.94,3800.0
10108,3/3/2003 0:00,Shipped,5265.15,3300.0
10122,5/8/2003 0:00,Shipped,7599.9,4200.0
10135,7/2/2003 0:00,Shipped,8008.56,4200.0
10147,9/5/2003 0:00,Shipped,9245.76,4800.0
10159,10/10/2003 0:00,Shipped,8296.35,4100.0
10169,11/4/2003 0:00,Shipped,5019.9,3000.0
10181,11/12/2003 0:00,Shipped,5411.07,2700.0
10191,11/20/2003 0:00,Shipped,3840.9,2100.0
10203,12/2/2003 0:00,Shipped,3930.4,2000.0
10211,1/15/2004 0:00,Shipped,7498.9,4100.0
10225,2/22/2004 0:00,Shipped,4517.91,2700.0
10238,4/9/2004 0:00,Shipped,5774.72,2800.0
10253,6/1/2004 0:00,Cancelled,3922.56,2400.0
10266,7/6/2004 0:00,Shipped,9160.36,4400.0
10276,8/2/2004 0:00,Shipped,9631.0,5000.0
10287,8/30/2004 0:00,Shipped,3432.24,2100.0
10300,10/4/2003 0:00,Shipped,5521.89,3300.0
10310,10/16/2004 0:00,Shipped,6934.62,3300.0
10320,11/3/2004 0:00,Shipped,6876.11,3100.0
10329,11/15/2004 0:00,Shipped,2930.27,2930.27
10341,11/24/2004 0:00,Shipped,3584.25,3584.2500000000005
10363,1/6/2005 0:00,Shipped,2817.87,2817.87
10375,2/3/2005 0:00,Shipped,3420.0,3420.0
10389,3/3/2005 0:00,Shipped,2575.04,2575.04
10419,5/17/2005 0:00,Shipped,1961.28,1200.0
10105,2/11/2003 0:00,Shipped,8690.36,4100.0
10117,4/16/2003 0:00,Shipped,6034.38,3300.0
10127,6/3/2003 0:00,Shipped,11279.2,4600.0
10142,8/8/2003 0:00,Shipped,8023.29,3300.0
10153,9/28/2003 0:00,Shipped,4904.0,2000.0
10165,10/22/2003 0:00,Shipped,8594.52,4400.0
10176,11/6/2003 0:00,Shipped,7474.5,3300.0
10185,11/14/2003 0:00,Shipped,3883.74,2100.0
10196,11/26/2003 0:00,Shipped,8887.7,4700.0
10208,1/2/2004 0:00,Shipped,8602.92,4600.0
10220,2/12/2004 0:00,Shipped,7181.44,3200.0
10231,3/19/2004 0:00,Shipped,8378.58,4200.0
10247,5/5/2004 0:00,Shipped,10606.2,4400.0
10272,7/20/2004 0:00,Shipped,5818.4,3500.0
10282,8/20/2004 0:00,Shipped,7071.27,4100.0
10293,9/9/2004 0:00,Shipped,8411.56,4600.0
10306,10/14/2004 0:00,Shipped,6570.76,3100.0
10314,10/22/2004 0:00,Shipped,7975.44,3800.0
10325,11/5/2004 0:00,Shipped,2688.0,2688.0
10336,11/20/2004 0:00,Shipped,1888.26,1888.26
10348,11/1/2004 0:00,Shipped,2513.28,2513.28
10359,12/15/2004 0:00,Shipped,4764.48,4200.0
10371,1/23/2005 0:00,Shipped,3560.64,3200.0
10382,2/17/2005 0:00,Shipped,3823.64,3400.0
10395,3/17/2005 0:00,Shipped,2280.96,2280.96
10413,5/5/2005 0:00,Shipped,8677.8,3600.0
10103,1/29/2003 0:00,Shipped,3394.98,2700.0
10113,3/26/2003 0:00,Shipped,3415.44,2100.0
10126,5/28/2003 0:00,Shipped,2439.57,2100.0
10140,7/24/2003 0:00,Shipped,4829.8,3800.0
10150,9/19/2003 0:00,Shipped,4100.1,3000.0
10164,10/21/2003 0:00,Resolved,6563.06,4900.0
10174,11/6/2003 0:00,Shipped,6817.22,4300.0
10183,11/13/2003 0:00,Shipped,6163.94,4100.0
10194,11/25/2003 0:00,Shipped,4933.92,3800.0
10206,12/5/2003 0:00,Shipped,4056.36,2800.0
10216,2/2/2004 0:00,Shipped,5759.42,4300.0
10229,3/11/2004 0:00,Shipped,3451.0,2500.0
10245,5/4/2004 0:00,Shipped,5920.4,3800.0
10258,6/15/2004 0:00,Shipped,6668.24,4100.0
10270,7/19/2004 0:00,Shipped,4094.72,2800.0
10281,8/19/2004 0:00,Shipped,2938.5,2500.0
10291,9/8/2004 0:00,Shipped,6387.8,4100.0
10304,10/11/2004 0:00,Shipped,6396.0,3900.0
10313,10/22/2004 0:00,Shipped,2669.1,2100.0
10322,11/4/2004 0:00,Shipped,4784.13,2700.0
10333,11/18/2004 0:00,Shipped,3273.93,3273.93
10347,11/29/2004 0:00,Shipped,3586.43,2900.0
10357,12/10/2004 0:00,Shipped,5960.36,4900.0
10370,1/20/2005 0:00,Shipped,8470.14,4900.0
10381,2/17/2005 0:00,Shipped,2952.0,2000.0
10391,3/9/2005 0:00,Shipped,2464.8,2464.8
10411,5/1/2005 0:00,Shipped,6232.0,4000.0
10424,5/31/2005 0:00,In Process,7969.36,4900.0
10107,2/24/2003 0:00,Shipped,3036.6,2100.0
10121,5/7/2003 0:00,Shipped,8284.0,5000.0
10134,7/1/2003 0:00,Shipped,2711.2,2000.0
10145,8/25/2003 0:00,Shipped,8339.8,4900.0
10159,10/10/2003 0:00,Shipped,6238.84,3800.0
10169,11/4/2003 0:00,Shipped,4639.25,3500.0
10180,11/11/2003 0:00,Shipped,6747.6,4000.0
10189,11/18/2003 0:00,Shipped,4512.48,2800.0
10201,12/1/2003 0:00,Shipped,4029.0,2500.0
10211,1/15/2004 0:00,Shipped,4771.8,3600.0
10224,2/21/2004 0:00,Shipped,6087.94,4300.0
10237,4/5/2004 0:00,Shipped,4193.28,3200.0
10251,5/18/2004 0:00,Shipped,7552.28,4600.0
10263,6/28/2004 0:00,Shipped,6434.4,4800.0
10276,8/2/2004 0:00,Shipped,5181.5,4300.0
10285,8/27/2004 0:00,Shipped,6863.92,4900.0
10299,9/30/2004 0:00,Shipped,4157.04,2400.0
10309,10/15/2004 0:00,Shipped,4660.24,2600.0
10319,11/3/2004 0:00,Shipped,4111.8,3000.0
10329,11/15/2004 0:00,Shipped,3542.64,2400.0
10341,11/24/2004 0:00,Shipped,8118.55,5500.0
10362,1/5/2005 0:00,Shipped,3877.06,2200.0
10375,2/3/2005 0:00,Shipped,3867.08,3867.08
10388,3/3/2005 0:00,Shipped,5951.44,4400.0
10403,4/8/2005 0:00,Shipped,8648.64,6600.0
10417,5/13/2005 0:00,Disputed,3447.78,2100.0
10104,1/31/2003 0:00,Shipped,5958.5,3400.0
10117,4/16/2003 0:00,Shipped,5911.64,4300.0
10127,6/3/2003 0:00,Shipped,7366.44,4600.0
10142,8/8/2003 0:00,Shipped,4985.64,3300.0
10153,9/28/2003 0:00,Shipped,5393.64,4200.0
10165,10/22/2003 0:00,Shipped,4880.02,3400.0
10176,11/6/2003 0:00,Shipped,8378.69,4700.0
10185,11/14/2003 0:00,Shipped,4038.21,3300.0
10196,11/26/2003 0:00,Shipped,3807.12,2400.0
10208,1/2/2004 0:00,Shipped,3142.36,2600.0
10220,2/12/2004 0:00,Shipped,4713.6,3000.0
10230,3/15/2004 0:00,Shipped,7016.31,4300.0
10247,5/5/2004 0:00,Shipped,4381.25,2500.0
10272,7/20/2004 0:00,Shipped,4283.01,2700.0
10282,8/20/2004 0:00,Shipped,4364.82,2700.0
10293,9/9/2004 0:00,Shipped,4242.24,2400.0
10306,10/14/2004 0:00,Shipped,4982.7,3400.0
10314,10/22/2004 0:00,Shipped,6393.54,4600.0
10324,11/5/2004 0:00,Shipped,1466.91,1466.91
10336,11/20/2004 0:00,Shipped,4059.33,3300.0
10348,11/1/2004 0:00,Shipped,4801.52,4700.0
10358,12/10/2004 0:00,Shipped,2711.66,2711.6600000000003
10372,1/26/2005 0:00,Shipped,5862.0,4000.0
10382,2/17/2005 0:00,Shipped,4071.85,3700.0
10413,5/5/2005 0:00,Shipped,8236.75,4700.0
10108,3/3/2003 0:00,Shipped,6130.35,4500.0
10122,5/8/2003 0:00,Shipped,3693.34,3693.34
10135,7/2/2003 0:00,Shipped,6031.68,4800.0
10147,9/5/2003 0:00,Shipped,3494.94,3100.0
10160,10/11/2003 0:00,Shipped,5294.14,4600.0
10170,11/4/2003 0:00,Shipped,5464.69,4700.0
10181,11/12/2003 0:00,Shipped,2860.76,2800.0
10191,11/20/2003 0:00,Shipped,5590.0,4000.0
10203,12/2/2003 0:00,Shipped,2254.8,2000.0
10212,1/16/2004 0:00,Shipped,4946.76,3900.0
10225,2/22/2004 0:00,Shipped,2495.5,2495.5
10238,4/9/2004 0:00,Shipped,3167.38,2900.0
10253,6/1/2004 0:00,Cancelled,2402.84,2200.0
10266,7/6/2004 0:00,Shipped,2454.54,2200.0
10276,8/2/2004 0:00,Shipped,5464.69,4700.0
10287,8/30/2004 0:00,Shipped,4756.5,4500.0
10300,10/4/2003 0:00,Shipped,3984.6,2900.0
10310,10/16/2004 0:00,Shipped,3100.32,2400.0
10320,11/3/2004 0:00,Shipped,4850.3,3500.0
10329,11/15/2004 0:00,Shipped,3846.98,3846.98
10341,11/24/2004 0:00,Shipped,4220.92,4220.92
10363,1/6/2005 0:00,Shipped,3288.82,3288.82
10376,2/8/2005 0:00,Shipped,3987.2,3500.0
10389,3/3/2005 0:00,Shipped,1809.5,1809.5
10419,5/17/2005 0:00,Shipped,1092.2,1000.0
10105,2/11/2003 0:00,Shipped,4566.05,2900.0
10117,4/16/2003 0:00,Shipped,5938.14,3900.0
10127,6/3/2003 0:00,Shipped,8138.76,4200.0
10142,8/8/2003 0:00,Shipped,9470.94,4600.0
10153,9/28/2003 0:00,Shipped,7036.89,4900.0
10165,10/22/2003 0:00,Shipped,5559.03,2700.0
10176,11/6/2003 0:00,Shipped,7872.5,5000.0
10185,11/14/2003 0:00,Shipped,7886.2,4300.0
10196,11/26/2003 0:00,Shipped,7232.16,3800.0
10208,1/2/2004 0:00,Shipped,3114.4,2000.0
10220,2/12/2004 0:00,Shipped,5045.22,2700.0
10231,3/19/2004 0:00,Shipped,6952.12,4900.0
10247,5/5/2004 0:00,Shipped,4157.73,2700.0
10272,7/20/2004 0:00,Shipped,7962.24,3900.0
10282,8/20/2004 0:00,Shipped,3778.8,2400.0
10293,9/9/2004 0:00,Shipped,8253.0,4500.0
10306,10/14/2004 0:00,Shipped,3633.4,2000.0
10314,10/22/2004 0:00,Shipped,6913.8,3600.0
10325,11/5/2004 0:00,Shipped,2583.6,2400.0
10336,11/20/2004 0:00,Shipped,3105.62,3105.6200000000003
10349,12/1/2004 0:00,Shipped,4408.56,2600.0
10359,12/15/2004 0:00,Shipped,3042.41,3042.4100000000003
10372,1/26/2005 0:00,Shipped,5941.5,3400.0
10382,2/17/2005 0:00,Shipped,3241.9,3241.9
10396,3/23/2005 0:00,Shipped,6109.29,3300.0
10413,5/5/2005 0:00,Shipped,3387.78,2200.0
10108,3/3/2003 0:00,Shipped,3485.82,3485.82
10122,5/8/2003 0:00,Shipped,2042.88,2042.88
10135,7/2/2003 0:00,Shipped,1800.24,1800.2400000000002
10147,9/5/2003 0:00,Shipped,1340.64,1340.64
10159,10/10/2003 0:00,Shipped,1762.08,1762.08
10169,11/4/2003 0:00,Shipped,2298.24,2298.24
10181,11/12/2003 0:00,Shipped,1628.0,1628.0
10191,11/20/2003 0:00,Shipped,1939.2,1939.2
10203,12/2/2003 0:00,Shipped,3651.56,3651.56
10211,1/15/2004 0:00,Shipped,2591.96,2591.96
10225,2/22/2004 0:00,Shipped,2864.17,2864.17
10238,4/9/2004 0:00,Shipped,1484.2,1484.1999999999998
10253,6/1/2004 0:00,Cancelled,2254.25,2254.25
10266,7/6/2004 0:00,Shipped,2681.35,2681.35
10276,8/2/2004 0:00,Shipped,3184.02,3184.0200000000004
10287,8/30/2004 0:00,Shipped,2846.63,2846.63
10300,10/4/2003 0:00,Shipped,1685.42,1685.42
10310,10/16/2004 0:00,Shipped,3988.6,3988.6
10320,11/3/2004 0:00,Shipped,2789.96,2789.96
10329,11/15/2004 0:00,Shipped,3607.56,3300.0
10341,11/24/2004 0:00,Shipped,3368.16,3368.16
10363,1/6/2005 0:00,Shipped,2775.08,2775.08
10377,2/9/2005 0:00,Shipped,1627.92,1627.92
10389,3/3/2005 0:00,Shipped,2529.36,2529.36
10419,5/17/2005 0:00,Shipped,3065.78,3065.78
10104,1/31/2003 0:00,Shipped,4615.78,4100.0
10115,4/4/2003 0:00,Shipped,5723.78,4600.0
10127,6/3/2003 0:00,Shipped,2559.6,2400.0
10141,8/1/2003 0:00,Shipped,2140.11,2100.0
10151,9/21/2003 0:00,Shipped,3327.6,2400.0
10165,10/22/2003 0:00,Shipped,6825.6,4800.0
10175,11/6/2003 0:00,Shipped,3543.28,2600.0
10184,11/14/2003 0:00,Shipped,4516.22,3700.0
10195,11/25/2003 0:00,Shipped,6445.46,4900.0
10207,12/9/2003 0:00,Shipped,3384.36,3384.36
10219,2/10/2004 0:00,Shipped,4891.68,4800.0
10229,3/11/2004 0:00,Shipped,4521.96,3600.0
10246,5/5/2004 0:00,Shipped,5069.66,4600.0
10259,6/15/2004 0:00,Shipped,6541.2,4600.0
10271,7/20/2004 0:00,Shipped,3012.27,3012.27
10281,8/19/2004 0:00,Shipped,5247.18,4100.0
10292,9/8/2004 0:00,Shipped,2214.87,2100.0
10305,10/13/2004 0:00,Shipped,4773.18,3800.0
10314,10/22/2004 0:00,Shipped,6185.7,4500.0
10324,11/5/2004 0:00,Shipped,1517.88,1517.88
10336,11/20/2004 0:00,Shipped,6372.6,3800.0
10349,12/1/2004 0:00,Shipped,5232.96,4800.0
10358,12/10/2004 0:00,Shipped,2694.72,2694.72
10371,1/23/2005 0:00,Shipped,1749.79,1749.79
10382,2/17/2005 0:00,Shipped,2130.56,2130.56
10412,5/3/2005 0:00,Shipped,5951.34,5400.0
10425,5/31/2005 0:00,In Process,4692.6,3300.0
10108,3/3/2003 0:00,Shipped,3731.04,3600.0
10122,5/8/2003 0:00,Shipped,2142.0,2000.0
10135,7/2/2003 0:00,Shipped,2838.81,2838.81
10147,9/5/2003 0:00,Shipped,3230.37,3230.37
10160,10/11/2003 0:00,Shipped,5182.0,5000.0
10170,11/4/2003 0:00,Shipped,4391.1,4100.0
10181,11/12/2003 0:00,Shipped,4477.32,3600.0
10192,11/20/2003 0:00,Shipped,3544.56,2700.0
10203,12/2/2003 0:00,Shipped,5195.85,4700.0
10212,1/16/2004 0:00,Shipped,4180.44,3300.0
10225,2/22/2004 0:00,Shipped,2684.43,2100.0
10239,4/12/2004 0:00,Shipped,1958.88,1958.88
10253,6/1/2004 0:00,Cancelled,4910.57,4100.0
10266,7/6/2004 0:00,Shipped,4468.4,4000.0
10277,8/4/2004 0:00,Shipped,3127.88,2800.0
10287,8/30/2004 0:00,Shipped,2675.13,2300.0
10300,10/4/2003 0:00,Shipped,2807.61,2300.0
10310,10/16/2004 0:00,Shipped,2504.75,2500.0
10321,11/4/2004 0:00,Shipped,2984.88,2400.0
10329,11/15/2004 0:00,Shipped,2524.86,2524.86
10341,11/24/2004 0:00,Shipped,4136.0,4136.0
10363,1/6/2005 0:00,Shipped,4068.7,4068.7
10377,2/9/2005 0:00,Shipped,5182.0,5000.0
10389,3/3/2005 0:00,Shipped,5243.79,4700.0
10405,4/14/2005 0:00,Shipped,9048.16,9048.16
10419,5/17/2005 0:00,Shipped,3832.64,3200.0
10103,1/29/2003 0:00,Shipped,3920.0,3500.0
10113,3/26/2003 0:00,Shipped,4916.66,4900.0
10126,5/28/2003 0:00,Shipped,3857.0,3800.0
10140,7/24/2003 0:00,Shipped,4181.44,3200.0
10150,9/19/2003 0:00,Shipped,4641.0,3400.0
10164,10/21/2003 0:00,Resolved,3570.12,3570.12
10174,11/6/2003 0:00,Shipped,4480.32,4480.32
10183,11/13/2003 0:00,Shipped,2033.64,2033.64
10194,11/25/2003 0:00,Shipped,1960.14,1960.14
10206,12/5/2003 0:00,Shipped,3966.78,3400.0
10215,1/29/2004 0:00,Shipped,5152.0,4600.0
10228,3/10/2004 0:00,Shipped,3360.0,3200.0
10245,5/4/2004 0:00,Shipped,3451.0,2900.0
10258,6/15/2004 0:00,Shipped,5453.0,4100.0
10270,7/19/2004 0:00,Shipped,4164.12,4164.12
10280,8/17/2004 0:00,Shipped,2800.08,2400.0
10291,9/8/2004 0:00,Shipped,4687.94,4100.0
10304,10/11/2004 0:00,Shipped,4508.0,4508.0
10312,10/21/2004 0:00,Shipped,4181.44,3200.0
10322,11/4/2004 0:00,Shipped,2251.04,2200.0
10333,11/18/2004 0:00,Shipped,1167.25,1167.25
10347,11/29/2004 0:00,Shipped,2083.2,2083.2000000000003
10357,12/10/2004 0:00,Shipped,3822.0,3822.0
10370,1/20/2005 0:00,Shipped,3911.49,2700.0
10381,2/17/2005 0:00,Shipped,4704.0,4704.0
10391,3/9/2005 0:00,Shipped,2467.9,2467.9
10411,5/1/2005 0:00,Shipped,3213.0,2700.0
10424,5/31/2005 0:00,In Process,7182.0,5400.0
10109,3/10/2003 0:00,Shipped,4379.18,2600.0
10122,5/8/2003 0:00,Shipped,5004.8,3400.0
10136,7/4/2003 0:00,Shipped,3644.75,2500.0
10148,9/11/2003 0:00,Shipped,2702.04,2300.0
10161,10/17/2003 0:00,Shipped,3764.88,2800.0
10171,11/5/2003 0:00,Shipped,4508.0,3500.0
10181,11/12/2003 0:00,Shipped,5418.16,4400.0
10192,11/20/2003 0:00,Shipped,3300.66,2200.0
10204,12/2/2003 0:00,Shipped,6182.4,4200.0
10212,1/16/2004 0:00,Shipped,4186.73,2900.0
10225,2/22/2004 0:00,Shipped,4529.28,3200.0
10240,4/13/2004 0:00,Shipped,5628.89,4100.0
10253,6/1/2004 0:00,Cancelled,3054.48,2600.0
10266,7/6/2004 0:00,Shipped,2526.51,2100.0
10278,8/6/2004 0:00,Shipped,4667.86,3400.0
10287,8/30/2004 0:00,Shipped,6499.32,4100.0
10301,10/5/2003 0:00,Shipped,5917.78,3700.0
10310,10/16/2004 0:00,Shipped,6231.91,3700.0
10321,11/4/2004 0:00,Shipped,5803.14,4100.0
10331,11/17/2004 0:00,Shipped,6434.02,4600.0
10342,11/24/2004 0:00,Shipped,6454.4,4000.0
10356,12/9/2004 0:00,Shipped,4196.8,4196.8
10365,1/7/2005 0:00,Shipped,2611.8,2611.8
10377,2/9/2005 0:00,Shipped,5895.05,3500.0
10390,3/4/2005 0:00,Shipped,3375.72,3375.72
10406,4/15/2005 0:00,Disputed,8374.69,6100.0
10419,5/17/2005 0:00,Shipped,4464.24,3800.0
10102,1/10/2003 0:00,Shipped,4808.31,3900.0
10111,3/25/2003 0:00,Shipped,3288.78,3288.78
10125,5/21/2003 0:00,Shipped,3254.72,3200.0
